# Arrow 1
11.000, 9.000, 1.663
10.915, 9.919, 1.663
10.662, 10.806, 1.848
10.251, 11.632, 2.033
9.695, 12.368, 2.218
9.013, 12.990, 2.402
8.229, 13.476, 2.587
7.368, 13.809, 2.772
6.461, 13.979, 2.957
5.539, 13.979, 3.142
4.632, 13.809, -2.957
3.771, 13.476, -2.772
2.987, 12.990, -2.587
2.305, 12.368, -2.402
1.749, 11.632, -2.218
1.338, 10.806, -2.033
1.085, 9.919, -1.848
1.000, 9.000, -1.663
1.000, 8.143, -1.571
1.000, 7.286, -1.571
1.000, 6.429, -1.571
1.000, 5.571, -1.571
1.000, 4.714, -1.571
1.000, 3.857, -1.571
1.000, 3.000, -1.571
1.085, 2.081, -1.478
1.338, 1.194, -1.294
1.749, 0.368, -1.109
2.305, -0.368, -0.924
2.987, -0.990, -0.739
3.771, -1.476, -0.554
4.632, -1.809, -0.370
5.539, -1.979, -0.185
6.461, -1.979, 0.000
7.368, -1.809, 0.185
8.229, -1.476, 0.370
9.013, -0.990, 0.554
9.695, -0.368, 0.739
10.251, 0.368, 0.924
10.662, 1.194, 1.109
10.915, 2.081, 1.294
11.000, 3.000, 1.478
11.000, 3.667, 1.571
11.000, 4.333, 1.571
11.000, 5.000, 1.571
11.000, 5.667, 1.571
11.000, 6.333, 1.571
11.000, 7.000, 1.571
11.000, 7.667, 1.571
11.000, 8.333, 1.571
# Arrow 2
9.009, 8.815, 0.000
8.995, 8.837, 0.000
8.974, 8.885, 0.000
8.926, 8.977, 0.000
8.833, 9.093, 0.000
8.691, 9.205, 0.000
8.508, 9.298, 0.000
8.293, 9.355, 0.000
8.063, 9.363, 0.000
7.832, 9.316, 0.000
7.610, 9.220, 0.000
7.401, 9.081, 0.000
7.207, 8.904, 0.000
7.030, 8.697, 0.000
6.870, 8.463, 0.000
6.726, 8.208, 0.000
6.600, 7.935, 0.000
6.492, 7.647, 0.000
6.404, 7.347, 0.000
6.336, 7.036, 0.000
6.291, 6.719, 0.000
6.269, 6.396, 0.000
6.273, 6.071, 0.000
6.303, 5.747, 0.000
6.360, 5.425, 0.000
6.445, 5.110, 0.000
6.557, 4.804, 0.000
6.694, 4.507, 0.000
6.847, 4.217, 0.000
7.012, 3.946, 0.000
7.185, 3.713, 0.000
7.361, 3.527, 0.000
7.534, 3.395, 0.000
7.702, 3.324, 0.000
7.863, 3.314, 0.000
8.013, 3.367, 0.000
8.139, 3.480, 0.000
8.234, 3.639, 0.000
8.305, 3.837, 0.000
8.358, 4.065, 0.000
8.403, 4.317, 0.000
8.447, 4.587, 0.000
8.492, 4.851, 0.000
8.538, 5.106, 0.000
8.575, 5.333, 0.000
8.603, 5.539, 0.000
8.632, 5.733, 0.000
8.661, 5.926, 0.000
8.695, 6.151, 0.000
8.735, 6.399, 0.000
8.782, 6.666, 0.000
