version,metric,angle,noise,value
v3,distance,225.0,0.15,0.5246752390857339
v3,distance,225.0,0.2,0.6939346237750567
v3,distance,225.0,0.25,0.8773698388681637
v3,distance,270.0,0.0,0.0772857194418557
v3,distance,270.0,0.05,0.1569323108548288
v3,distance,270.0,0.1,0.298699027026724
v3,distance,270.0,0.15,0.5416163214519015
v3,distance,270.0,0.2,0.6862276574514479
v3,distance,270.0,0.25,0.8709281687031083
v3,distance,315.0,0.0,0.07509724329636876
v3,distance,315.0,0.05,0.16048983936152278
v3,distance,315.0,0.1,0.2801156232139868
v3,distance,315.0,0.15,0.5024453817848583
v3,distance,315.0,0.2,0.6613637433954065
v3,distance,315.0,0.25,0.8335221556455624
v3,angle,0.0,0.0,1.3216903949913703
v3,angle,0.0,0.05,2.797864175626962
v3,angle,0.0,0.1,5.052989665619716
v3,angle,0.0,0.15,8.124183254532104
v3,angle,0.0,0.2,12.09719987635063
v3,angle,0.0,0.25,15.819978241609721
v3,angle,45.0,0.0,1.319278564786005
v3,angle,45.0,0.05,2.789748489027988
v3,angle,45.0,0.1,5.579684417569597
v3,angle,45.0,0.15,8.132833859230086
v3,angle,45.0,0.2,11.556393152440387
v3,angle,45.0,0.25,15.584402852931914
v3,angle,90.0,0.0,1.394359962469826
v3,angle,90.0,0.05,2.9332129818490738
v3,angle,90.0,0.1,5.117196487546236
v3,angle,90.0,0.15,8.403313425034804
v3,angle,90.0,0.2,11.844907540153711
v3,angle,90.0,0.25,15.142894163467652
v3,angle,135.0,0.0,1.416489748598301
v3,angle,135.0,0.05,2.731581834874989
v3,angle,135.0,0.1,4.883396269500996
v3,angle,135.0,0.15,8.602028697299522
v3,angle,135.0,0.2,11.193483910975196
v3,angle,135.0,0.25,13.687150297719189
v3,angle,180.0,0.0,1.3861156715452312
v3,angle,180.0,0.05,2.972315414847416
v3,angle,180.0,0.1,5.641565313175805
v3,angle,180.0,0.15,9.06789129839247
v3,angle,180.0,0.2,12.171654010390364
v3,angle,180.0,0.25,15.088742630896704
v3,angle,225.0,0.0,1.664421539068051
v3,angle,225.0,0.05,3.4149924498614466
v3,angle,225.0,0.1,6.674237800350636
v3,angle,225.0,0.15,10.891042377671743
v3,angle,225.0,0.2,14.729709496848228
v3,angle,225.0,0.25,18.553839358864604
v3,angle,270.0,0.0,1.7230994423525927
v3,angle,270.0,0.05,3.1942257746395946
v3,angle,270.0,0.1,5.991140017166676
v3,angle,270.0,0.15,12.136095328629482
v3,angle,270.0,0.2,14.988623365623903
v3,angle,270.0,0.25,19.01461658121237
v3,angle,315.0,0.0,1.4309118943503467
v3,angle,315.0,0.05,2.8910026252271708
v3,angle,315.0,0.1,4.75515114352632
v3,angle,315.0,0.15,8.73596689955276
v3,angle,315.0,0.2,12.623940144919523
v3,angle,315.0,0.25,16.06080324220337
v3,length,0.0,0.0,66.63380934898387
v3,length,0.0,0.05,105.11230844141502
v3,length,0.0,0.1,158.8482422844184
v3,length,0.0,0.15,214.89631211604797
v3,length,0.0,0.2,273.5413651860441
v3,length,0.0,0.25,332.6932867574217
v3,length,45.0,0.0,59.61429274534194
v3,length,45.0,0.05,101.1864029773971
v3,length,45.0,0.1,158.54995555378406
v3,length,45.0,0.15,213.66168173629086
v3,length,45.0,0.2,273.22152197065714
v3,length,45.0,0.25,332.2448487463372
v3,length,90.0,0.0,56.36814287338974
v3,length,90.0,0.05,99.72736946026131
v3,length,90.0,0.1,155.6718104365204
v3,length,90.0,0.15,213.00865305015418
v3,length,90.0,0.2,273.08930103935563
v3,length,90.0,0.25,331.4519197537549
v3,length,135.0,0.0,59.92294161552513
v3,length,135.0,0.05,101.41208630412996
v3,length,135.0,0.1,157.5706587003919
v3,length,135.0,0.15,213.7547729578862
v3,length,135.0,0.2,273.35638812505
v3,length,135.0,0.25,331.22379427266446
v3,length,180.0,0.0,66.40742321293817
v3,length,180.0,0.05,105.18228467111177
v3,length,180.0,0.1,159.871264515691
v3,length,180.0,0.15,215.0618222842558
v3,length,180.0,0.2,272.1904649760294
v3,length,180.0,0.25,332.0335347713203
v3,length,225.0,0.0,72.25340791618369
v3,length,225.0,0.05,109.33828582597204
v3,length,225.0,0.1,160.8599425780018
v3,length,225.0,0.15,217.5470976287134
v3,length,225.0,0.2,273.3501600451135
v3,length,225.0,0.25,332.9193575895414
v3,length,270.0,0.0,74.63621923635361
v3,length,270.0,0.05,109.80242535367145
v3,length,270.0,0.1,162.6571730110517
v3,length,270.0,0.15,216.7746472973995
v3,length,270.0,0.2,275.57688277736577
v3,length,270.0,0.25,332.84130218115286
v3,length,315.0,0.0,72.10391047824078
v3,length,315.0,0.05,109.34834652759511
v3,length,315.0,0.1,160.63503485788624
v3,length,315.0,0.15,215.89110640858195
v3,length,315.0,0.2,274.5389755976874
v3,length,315.0,0.25,333.5577465930311
